Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,976352.0,1028094.0,1081241.0,1134979.0,1188812.0,1242624.0,1296565.0,1350952.0,1406259.0,1462092.0,1517179.0,1571576.0,1627093.0,1684339.0,1743617.0,1800699.0,1859982.0,1922282.0,1987576.0,2039072.0,2070749.0,2099003.0,2128281.0,2159131.0,2188480.0,2214571.0,2239060.0,2262204.0,2279551.0,2334077.0,2397854.0,2429239.0,2390591.0,2302802.0,2237851.0,2194930.0,2170048.0,2142910.0,2113681.0,2082220.0,2048957.0,2017268.0,1994552.0,1978050.0,1963242.0,1948348.0,1932078.0,1914970.0,1898649.0,1883514.0,1869128.0,1855213.0,1843080.0,1832631.0,1823893.0,1815962.0,1807826.0,1799649.0,1791257.0,1783156.0,1776315.0,1770343.0,1767628.0
American Samoa,13298.0,13745.0,14267.0,14814.0,15387.0,15984.0,16584.0,17186.0,17817.0,18472.0,19056.0,19531.0,19976.0,20420.0,20879.0,21397.0,21966.0,22533.0,23099.0,23672.0,24444.0,25559.0,26788.0,28076.0,29429.0,30843.0,32321.0,33862.0,35474.0,37152.0,38708.0,40118.0,41459.0,42809.0,44176.0,45540.0,46893.0,48226.0,49509.0,50758.0,51584.0,51611.0,51425.0,51160.0,50825.0,50441.0,50017.0,49561.0,49072.0,48554.0,48044.0,47522.0,46937.0,46290.0,45579.0,44812.0,43990.0,43117.0,42203.0,41239.0,40255.0,39257.0,38604.0
Antigua and Barbuda,21946.0,21958.0,21906.0,21850.0,21829.0,21836.0,21829.0,21824.0,21823.0,21828.0,21819.0,21955.0,21982.0,21954.0,21922.0,21911.0,21947.0,22042.0,22166.0,22315.0,22463.0,22580.0,22687.0,22801.0,22837.0,22780.0,22715.0,22641.0,22563.0,22492.0,22435.0,22568.0,22686.0,22850.0,23029.0,23229.0,23445.0,23659.0,23844.0,23984.0,24113.0,24191.0,24006.0,23785.0,23554.0,23336.0,23141.0,22966.0,22815.0,22670.0,22485.0,22292.0,22380.0,22434.0,22465.0,22485.0,22502.0,22518.0,22539.0,22574.0,22641.0,22727.0,22828.0
Australia,8378309.0,8589875.0,8832932.0,9034955.0,9245383.0,9459784.0,9709943.0,9852991.0,10048170.0,10280809.0,10505755.0,10887779.0,11110846.0,11303156.0,11614598.0,11780153.0,11920613.0,12077392.0,12240482.0,12395391.0,12569300.0,12789234.0,13008344.0,13183123.0,13337672.0,13511953.0,13704019.0,13909190.0,14133843.0,14370104.0,14579251.0,14761085.0,14906654.0,15017273.0,15139633.0,15285785.0,15448588.0,15592522.0,15723967.0,15871907.0,16028911.0,16210024.0,16419256.0,16633061.0,16835775.0,17065978.0,17321968.0,17666406.0,18049707.0,18451571.0,18767085.0,19056040.0,19414834.0,19775013.0,20095657.0,20410546.0,20755798.0,21126017.0,21471397.0,21819366.0,22120168.0,22182436.0,22491671.0
Austria,4561167.0,4592914.0,4624644.0,4658034.0,4692726.0,4726878.0,4763809.0,4803163.0,4831802.0,4852163.0,4872871.0,4897890.0,4927193.0,4955326.0,4964528.0,4952131.0,4944146.0,4946802.0,4943554.0,4935890.0,4936650.0,4947212.0,4930765.0,4902840.0,4882418.0,4864664.0,4847469.0,4830238.0,4816676.0,4817928.0,4833974.0,4861464.0,4893935.0,4912877.0,4910076.0,4895821.0,4880469.0,4864091.0,4847335.0,4834637.0,4824004.0,4820068.0,4821291.0,4822095.0,4829142.0,4839033.0,4839801.0,4832038.0,4823638.0,4812679.0,4800510.0,4792887.0,4817487.0,4861991.0,4916377.0,4988134.0,5058968.0,5110858.0,5153759.0,5196085.0,5238479.0,5283472.0,5357839.0
Azerbaijan,2050961.0,2118517.0,2170106.0,2222513.0,2284616.0,2340574.0,2394753.0,2443252.0,2487265.0,2529777.0,2586439.0,2665882.0,2745165.0,2822271.0,2892038.0,2952446.0,3011670.0,3072874.0,3137001.0,3196843.0,3251327.0,3310162.0,3370646.0,3432673.0,3500598.0,3568397.0,3635448.0,3705470.0,3772840.0,3825371.0,3856598.0,3885855.0,3922231.0,3959053.0,3989328.0,4011953.0,4028686.0,4043596.0,4057628.0,4085971.0,4135854.0,4184325.0,4232008.0,4280744.0,4335079.0,4396406.0,4461940.0,4530068.0,4643726.0,4759039.0,4835557.0,4920166.0,5008847.0,5098727.0,5189181.0,5279540.0,5368846.0,5453517.0,5534464.0,5616706.0,5692217.0,5755809.0,5798042.0
Burundi,57047.0,59558.0,62195.0,64653.0,67732.0,71530.0,76481.0,81895.0,87531.0,93350.0,99513.0,106387.0,110991.0,115572.0,123599.0,132160.0,140900.0,150735.0,161778.0,172862.0,187134.0,202218.0,215110.0,229236.0,243711.0,258336.0,273109.0,289867.0,307348.0,324947.0,343889.0,361146.0,381169.0,379033.0,391831.0,427813.0,439569.0,451280.0,472567.0,496639.0,520130.0,547065.0,577261.0,611164.0,650742.0,692707.0,736488.0,783656.0,837579.0,903684.0,971253.0,1032093.0,1096506.0,1165374.0,1235881.0,1295625.0,1350704.0,1417430.0,1497829.0,1587191.0,1675149.0,1764450.0,1858290.0
Belgium,8463316.0,8500111.0,8545539.0,8624158.0,8720520.0,8814176.0,8887919.0,8951328.0,9000174.0,9039007.0,9061057.0,9090451.0,9138742.0,9179915.0,9221059.0,9259701.0,9288043.0,9319769.0,9348049.0,9375266.0,9403844.0,9418778.0,9426273.0,9435379.0,9444896.0,9457075.0,9469618.0,9486775.0,9525797.0,9569207.0,9606261.0,9650427.0,9697796.0,9743821.0,9781788.0,9810102.0,9836805.0,9868070.0,9896510.0,9926274.0,9956937.0,9997106.0,10047703.0,10095562.0,10144977.0,10206487.0,10279407.0,10360589.0,10448114.0,10537701.0,10639649.0,10784163.0,10856360.0,10912673.0,10966157.0,11034732.0,11095615.0,11143219.0,11198627.0,11263911.0,11316947.0,11368027.0,11469977.0
Benin,233014.0,251448.0,271519.0,293302.0,316930.0,342500.0,370192.0,400086.0,432369.0,467154.0,504643.0,545007.0,588607.0,635439.0,685840.0,740071.0,798609.0,861540.0,929308.0,995653.0,1048161.0,1104033.0,1163284.0,1225761.0,1291613.0,1361045.0,1434459.0,1511946.0,1593711.0,1679646.0,1770260.0,1865640.0,1955358.0,2061986.0,2158899.0,2222577.0,2299833.0,2387790.0,2482171.0,2580682.0,2682552.0,2787454.0,2901071.0,3028144.0,3160900.0,3304019.0,3449196.0,3593837.0,3746862.0,3905656.0,4070440.0,4241480.0,4418712.0,4602023.0,4794300.0,4995735.0,5205425.0,5423582.0,5649376.0,5882329.0,6121168.0,6364839.0,6614208.0
Burkina Faso,224813.0,232742.0,240956.0,249584.0,258628.0,268109.0,278026.0,288439.0,299301.0,310647.0,322446.0,334534.0,347156.0,360372.0,374449.0,389607.0,418068.0,458849.0,504384.0,554710.0,610448.0,671625.0,738845.0,813067.0,894830.0,984153.0,1053228.0,1102623.0,1153661.0,1206461.0,1261498.0,1317665.0,1375473.0,1435962.0,1499561.0,1566552.0,1636410.0,1729955.0,1849296.0,1979850.0,2120383.0,2271106.0,2432722.0,2605597.0,2790981.0,2988501.0,3198105.0,3393537.0,3576677.0,3768369.0,3970062.0,4183204.0,4409695.0,4646488.0,4893865.0,5153071.0,5422969.0,5701421.0,5986896.0,6281301.0,6587430.0,6904253.0,7227715.0
