Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,927796.0,943436.0,958105.0,971163.0,982217.0,991427.0,998931.0,1005045.0,1010202.0,1014267.0,1017198.0,1019347.0,1020955.0,1022513.0,1024029.0,1030099.0,1036329.0,1043241.0,1050648.0,1057986.0,1064374.0,1068873.0,1073730.0,1079160.0,1083622.0,1086325.0,1088122.0,1089160.0,1087287.0,1114109.0,1158685.0,1188392.0,1183964.0,1154547.0,1135862.0,1127852.0,1128850.0,1128508.0,1126869.0,1123810.0,1119566.0,1115865.0,1110485.0,1106052.0,1102503.0,1098898.0,1094408.0,1089423.0,1084772.0,1080782.0,1077165.0,1073763.0,1071341.0,1068754.0,1066037.0,1062633.0,1058009.0,1052274.0,1045300.0,1037446.0,1029293.0,1020631.0,1012841.0
American Samoa,6787.0,6881.0,7005.0,7135.0,7269.0,7407.0,7538.0,7662.0,7791.0,7924.0,8019.0,8062.0,8087.0,8109.0,8133.0,8176.0,8232.0,8283.0,8329.0,8373.0,8442.0,8500.0,8579.0,8659.0,8739.0,8820.0,8900.0,8980.0,9058.0,9136.0,9110.0,8874.0,8619.0,8365.0,8112.0,7861.0,7607.0,7352.0,7094.0,6836.0,6646.0,6713.0,6752.0,6781.0,6801.0,6813.0,6820.0,6822.0,6819.0,6812.0,6805.0,6788.0,6754.0,6705.0,6638.0,6556.0,6458.0,6346.0,6221.0,6082.0,5934.0,5778.0,5669.0
Antigua and Barbuda,33396.0,34287.0,35102.0,35928.0,36835.0,37808.0,38786.0,39793.0,40835.0,41914.0,42698.0,42814.0,42713.0,42509.0,42296.0,42124.0,42043.0,42075.0,42163.0,42294.0,42426.0,42496.0,42544.0,42607.0,42525.0,42268.0,41997.0,41712.0,41419.0,41144.0,40893.0,41066.0,41973.0,42984.0,44043.0,45169.0,46353.0,47559.0,48728.0,49837.0,50942.0,52024.0,53189.0,54290.0,55387.0,56533.0,57754.0,59050.0,60436.0,61864.0,63210.0,64437.0,65294.0,66063.0,66771.0,67456.0,68062.0,68601.0,69087.0,69543.0,70023.0,70492.0,70935.0
Australia,1898168.0,1893125.0,1909068.0,1915045.0,1921617.0,1928216.0,1941057.0,1946009.0,1960830.0,1982191.0,2001245.0,2049221.0,2066154.0,2076844.0,2108402.0,2112847.0,2112387.0,2114608.0,2117518.0,2118609.0,2122700.0,2134026.0,2175903.0,2210349.0,2241719.0,2276359.0,2314331.0,2354684.0,2398321.0,2444312.0,2485877.0,2522951.0,2571981.0,2617535.0,2665835.0,2719097.0,2776179.0,2830515.0,2883617.0,2940357.0,2999891.0,3064677.0,3075954.0,3087676.0,3096947.0,3110866.0,3128998.0,3161216.0,3199492.0,3240082.0,3264665.0,3283984.0,3318631.0,3353116.0,3380029.0,3405449.0,3435109.0,3466571.0,3491861.0,3515460.0,3529080.0,3502976.0,3513869.0
Austria,2486372.0,2493385.0,2505220.0,2517777.0,2531075.0,2544011.0,2558257.0,2573835.0,2583601.0,2588892.0,2594215.0,2602592.0,2617008.0,2630789.0,2634510.0,2626772.0,2621379.0,2621628.0,2618751.0,2613535.0,2612783.0,2621498.0,2643375.0,2659070.0,2679016.0,2700321.0,2722325.0,2744348.0,2768641.0,2801639.0,2843876.0,2893427.0,2946774.0,2992756.0,3026042.0,3052457.0,3078548.0,3103950.0,3129454.0,3157687.0,3187562.0,3222225.0,3260666.0,3299328.0,3342824.0,3388796.0,3428840.0,3463449.0,3497858.0,3530644.0,3562894.0,3598756.0,3612504.0,3617832.0,3629979.0,3654565.0,3677700.0,3686708.0,3686762.0,3683835.0,3678385.0,3672325.0,3684012.0
Azerbaijan,1843539.0,1927233.0,1998044.0,2071037.0,2154634.0,2234076.0,2313397.0,2388748.0,2461235.0,2533523.0,2585611.0,2617068.0,2646285.0,2671629.0,2702062.0,2736604.0,2769330.0,2803276.0,2839149.0,2874457.0,2909173.0,2947588.0,2986904.0,3027127.0,3067252.0,3101753.0,3134852.0,3169880.0,3201760.0,3251179.0,3318602.0,3385445.0,3459819.0,3535747.0,3607222.0,3672897.0,3734314.0,3794654.0,3855372.0,3896779.0,3912746.0,3926875.0,3939942.0,3953356.0,3971421.0,3995444.0,4022610.0,4051232.0,4119674.0,4188204.0,4218775.0,4252916.0,4286937.0,4318074.0,4345898.0,4369801.0,4388966.0,4400516.0,4405307.0,4407577.0,4400904.0,4381941.0,4343714.0
Burundi,2689581.0,2756414.0,2825203.0,2883480.0,2965489.0,3046604.0,3116897.0,3192598.0,3264866.0,3331079.0,3398321.0,3475683.0,3468204.0,3455878.0,3536433.0,3617072.0,3689989.0,3776693.0,3877632.0,3964575.0,4125700.0,4288525.0,4387161.0,4497270.0,4598557.0,4689688.0,4768597.0,4867902.0,4964492.0,5048750.0,5139904.0,5233682.0,5361916.0,5176187.0,5194577.0,5504970.0,5490938.0,5472582.0,5562773.0,5683541.0,5787529.0,5918664.0,6071677.0,6249682.0,6469754.0,6696167.0,6921702.0,7160953.0,7440530.0,7805682.0,8155352.0,8423640.0,8698973.0,8984203.0,9259032.0,9431523.0,9552623.0,9738163.0,9995643.0,10287647.0,10545078.0,10786763.0,11031286.0
Belgium,690173.0,683837.0,675039.0,665612.0,657593.0,649491.0,639888.0,629663.0,618582.0,607025.0,594492.0,582711.0,572373.0,561805.0,551360.0,540999.0,530184.0,510589.0,491485.0,473116.0,455398.0,440204.0,430030.0,420141.0,410476.0,401233.0,392205.0,383459.0,375867.0,368490.0,361118.0,354059.0,347362.0,340654.0,333815.0,326709.0,319832.0,313175.0,306498.0,300145.0,294313.0,289464.0,285082.0,280571.0,276160.0,272130.0,268551.0,265111.0,261859.0,258792.0,255937.0,254101.0,250572.0,246734.0,242900.0,239464.0,235807.0,231939.0,228427.0,225069.0,221657.0,218168.0,215837.0
Benin,2279270.0,2299768.0,2321783.0,2344780.0,2368689.0,2393343.0,2418450.0,2443653.0,2468849.0,2494012.0,2518800.0,2543374.0,2567801.0,2591941.0,2615436.0,2638632.0,2661720.0,2684914.0,2707619.0,2736741.0,2785778.0,2837536.0,2891101.0,2945765.0,3001457.0,3058507.0,3116923.0,3176841.0,3237913.0,3300034.0,3363159.0,3427406.0,3502420.0,3644195.0,3764495.0,3823934.0,3904027.0,3999236.0,4102012.0,4207907.0,4315471.0,4424587.0,4530712.0,4631064.0,4733654.0,4845400.0,4953435.0,5053924.0,5159607.0,5266858.0,5375270.0,5484900.0,5595366.0,5706707.0,5820544.0,5937048.0,6054660.0,6173197.0,6291307.0,6408115.0,6521955.0,6632056.0,6738656.0
Burkina Faso,4558446.0,4620091.0,4683541.0,4749087.0,4817483.0,4889820.0,4964771.0,5042174.0,5122818.0,5205100.0,5289220.0,5373259.0,5458127.0,5547370.0,5643692.0,5748837.0,5851697.0,5957720.0,6073395.0,6195229.0,6322519.0,6452105.0,6582972.0,6718117.0,6856646.0,6995032.0,7154599.0,7332373.0,7510059.0,7688773.0,7869863.0,8047399.0,8223082.0,8404113.0,8591695.0,8786711.0,8984800.0,9167398.0,9351767.0,9553704.0,9762505.0,9978658.0,10199547.0,10424994.0,10654996.0,10887626.0,11118137.0,11363537.0,11621238.0,11881653.0,12146783.0,12419447.0,12704037.0,12989920.0,13275977.0,13564948.0,13852529.0,14134437.0,14405827.0,14670338.0,14935196.0,15196430.0,15446047.0
